Country Name,Country Code,Birth rate,Continent,,Pop  2024,Density,Interenet  user,Income group
Aruba,ABW,10.244,South America,,106177,589.8722,78.9,High income
Afghanistan,AFG,35.253,Asia,,43372950,66.4995,5.9,Low income
Angola,AGO,45.985,Africa,,37804634,30.3238,19.1,Upper middle income
Albania,ALB,12.877,Europe,,2826020,103.1394,57.2,Upper middle income
United Arab Emirates,ARE,11.044,Asia,,9591853,135.0585,88,High income
Argentina,ARG,17.716,South America,,46057866,16.8298,59.9,High income
Armenia,ARM,13.308,Europe,,2777979,97.5757,41.9,Lower middle income
Antigua and Barbuda,ATG,16.447,North America,,94816,215.4909,63.4,High income
Australia,AUS,13.2,Oceania,,26699482,3.4711,83,High income
Austria,AUT,9.4,Europe,,8977139,108.7874,80.6188,High income
Azerbaijan,AZE,18.3,Europe,,10462904,126.599,58.7,Upper middle income
Burundi,BDI,44.151,Africa,,13591657,529.2701,1.3,Low income
Belgium,BEL,11.2,Europe,,11715774,386.9146,82.1702,High income
Benin,BEN,36.44,Africa,,14080072,124.8676,4.9,Low income
Burkina Faso,BFA,40.551,Africa,,23840247,87.1354,9.1,Low income
Bangladesh,BGD,20.142,Asia,,174701211,1342.1004,6.63,Lower middle income
Bulgaria,BGR,9.2,Europe,,6618615,60.9673,53.0615,Upper middle income
Bahrain,BHR,15.04,Asia,,1498712,1909.1873,90.0000397,High income
Bahamas,BHS,15.339,North America,,415223,41.4808,72,High income
Bosnia and Herzegovina,BIH,9.062,Europe,,3194378,62.3902,57.79,Upper middle income
Belarus,BLR,12.5,Europe,,9455037,46.5811,54.17,Upper middle income
Belize,BLZ,23.092,North America,,416656,18.2664,33.6,Upper middle income
Bermuda,BMU,10.4,North America,,63935,1183.9815,95.3,High income
Bolivia,BOL,24.236,South America,,12567336,11.601,36.94,Lower middle income
Brazil,BRA,14.931,South America,,217637297,26.039,51.04,Upper middle income
Barbados,BRB,12.188,North America,,282309,656.5326,73,High income
Brunei,BRN,16.405,Asia,,455858,86.5006,64.5,High income
Bhutan,BTN,18.134,Asia,,792382,20.7756,29.9,Lower middle income
