country,pop2024,density
India,1441719852,484.9067
China,1425178782,151.2174
United States,341814420,37.3673
Indonesia,279798049,149.0254
Pakistan,245209815,318.0908
Nigeria,229152217,251.6027
Brazil,217637297,26.039
Bangladesh,174701211,1342.1004
Russia,143957079,8.7903
Ethiopia,129719719,114.9415
Mexico,129388467,66.5596
Japan,122631432,336.4374
Philippines,119106224,399.4574
Egypt,114484252,115.0075
Congo,105625114,46.5914
Vietnam,99497680,317.4489
Iran,89809781,55.3527
Turkey,86260417,110.0875
Germany,83252474,238.2795
Thailand,71885799,140.707
Tanzania,69419073,78.3688
United Kingdom,67961439,280.9136
France,64881830,118.4933
South Africa,61020221,50.3015
Italy,58697744,198.493
Kenya,56203030,98.7508
Myanmar,54964694,84.2151
Colombia,52340774,47.1751
South Korea,51741963,530.1431
Uganda,49924252,248.9739
Sudan,49358228,26.423
Spain,47473373,95.031
Iraq,46523657,107.1658
Algeria,46278751,19.4306
Argentina,46057866,16.8298
Afghanistan,43372950,66.4995
Poland,40221726,131.3877
Canada,39107046,4.3619
Morocco,38211459,85.6183
Ukraine,37937821,65.4778
Angola,37804634,30.3238
Saudi Arabia,37473929,17.4322
Uzbekistan,35673804,80.9572
Yemen,35219853,66.7081
Mozambique,34858402,44.3277
Ghana,34777522,152.8461
Peru,34683444,27.0964
Malaysia,34671895,105.53
Nepal,31240315,217.9303
Madagascar,31056610,53.3802
Cote d'Ivoire,29603302,93.0921
Venezuela,29395334,33.3262
Cameroon,29394433,62.1828
Niger,28238972,22.2933
Australia,26699482,3.4711
North Korea,26244582,217.9602
Syria,24348053,132.593
Mali,24015789,19.682
Taiwan,23950214,661.663
Burkina Faso,23840247,87.1354
Sri Lanka,21949268,354.8217
Malawi,21475962,227.7892
Zambia,21134695,28.4302
Kazakhstan,19828165,7.3446
Chile,19658839,26.4398
Romania,19618996,85.2703
Chad,18847148,14.9676
Somalia,18706922,29.8194
Ecuador,18377367,73.9949
Guatemala,18358430,171.3179
Senegal,18221567,94.6427
Netherlands,17671125,524.8329
Cambodia,17121847,96.9966
Zimbabwe,17020321,43.9972
Guinea,14528770,59.1273
